counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
6,,,ILLOVO,1791.47,0,1791.47,1791.47,0,5,0.28,1.77,56.47,8.59,1278114.22,22632,713444391,9/18/2025,14:49:27
7,19.55,19.55,MPICO,19.54,19.55,19.55,19.55,590575,0.43,2.2,19.01,5.26,0.69,44926.83,8540.17,2298047460,9/18/2025,14:49:27
8,10800,9427.02,NBM,10800,0,9427,10779.48,204312,126.35,1.17,2.03,49.21,18.75,5033281.33,102283,466931738,9/18/2025,14:49:27
9,1024.73,1024.7,NBS,0,1024.72,1024.71,1024.72,347625,10.9,1.06,2.45,40.86,26.61,2982522.73,72991,2910573356,9/18/2025,14:49:27
10,1739.98,1739.92,NICO,0,1739.93,1739.96,1739.94,94047,20,1.15,3.97,25.2,11.66,1814828.92,72009,1043041096,9/18/2025,14:49:27
11,2210.32,2210.32,NITL,2210.32,0,2210.18,2210.32,106,11.1,0.5,9.97,10.03,4.05,298393.2,29759.48,135000000,9/18/2025,14:49:27
12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/18/2025,14:49:27
13,6600,6600,PCL,0,6600,6600,6600,4221,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/18/2025,14:49:27
14,6486,6483.99,STANDARD,0,6483.5,6487.14,6485.64,11850,161.93,2.5,1.13,88.11,29.29,7609866.09,86365,1173340810,9/18/2025,14:49:27
15,,,SUNBIRD,500,0,460.02,460.02,0,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/18/2025,14:49:27
16,34.99,29.97,TNM,0,29.98,34.99,34.84,32932,0,0,2.5,39.97,7.75,402095.42,10060,11541200375,9/18/2025,14:49:27
1,137.95,137.95,AIRTEL,0,137.95,137.96,137.95,7509,2,1.45,2.82,35.52,47.25,1517450,42722.11,11000000000,9/17/2025,14:49:11
2,,,BHL,,,15.02,15.02,0,0,0,-1.55,-64.44,1.36,88291.39,-1370.11,5878254935,9/17/2025,14:49:11
3,637.96,637.88,FDHB,637.96,0,637.95,637.94,934216,4.73,0.74,1.68,59.44,45.2,4402443.88,74063,6901031250,9/17/2025,14:49:11
4,1897.98,1897.97,FMBCH,1897.98,0,1897.96,1897.97,1538,3.64,0.19,2.53,39.45,14.18,4665684.75,118254.74,2458250000,9/17/2025,14:49:11
5,,,ICON,0,17.94,17.95,17.95,0,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,9/17/2025,14:49:11
6,,,ILLOVO,1791.47,0,1791.47,1791.47,0,5,0.28,1.77,56.47,8.59,1278114.22,22632,713444391,9/17/2025,14:49:11
7,19.55,19.55,MPICO,19.54,19.55,19.54,19.55,125721,0.43,2.2,19.01,5.26,0.69,44926.83,8540.17,2298047460,9/17/2025,14:49:11
8,9427,9427,NBM,9427.01,0,9426.44,9427,2787,126.35,1.34,2.32,43.04,16.4,4401765.49,102283,466931738,9/17/2025,14:49:11
9,1024.73,1024.71,NBS,0,1024.72,1024.74,1024.71,141627,10.9,1.06,2.45,40.86,26.61,2982493.62,72991,2910573356,9/17/2025,14:49:11
10,1739.98,1739.78,NICO,0,1739.98,1739.99,1739.96,32696,20,1.15,3.97,25.2,11.66,1814849.79,72009,1043041096,9/17/2025,14:49:11
11,2210.3,2210,NITL,2210.3,0,1922,2210.18,1250,11.1,0.5,9.97,10.03,4.05,298374.3,29759.48,135000000,9/17/2025,14:49:11
12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/17/2025,14:49:11
13,6600,6600,PCL,0,6600,6600,6600,1592,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/17/2025,14:49:11
14,6487.5,6486,STANDARD,0,6486,6489.28,6487.14,7312,161.93,2.5,1.13,88.13,29.3,7611626.1,86365,1173340810,9/17/2025,14:49:11
15,,,SUNBIRD,500,0,460.02,460.02,0,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/17/2025,14:49:11
16,34.99,34.99,TNM,0,34.99,34.99,34.99,82257,0,0,2.49,40.14,7.79,403826.6,10060,11541200375,9/17/2025,14:49:11
1,137.97,137.95,AIRTEL,0,137.95,137.96,137.96,31024,2,1.45,2.82,35.52,47.25,1517560,42722.11,11000000000,9/15/2025,14:58:55
2,15.02,15.01,BHL,0,0,15.01,15.02,1267453,0,0,-1.55,-64.44,1.36,88291.39,-1370.11,5878254935,9/15/2025,14:58:55
3,685,599.97,FDHB,600,685,599.99,637.95,1292561,4.73,0.74,1.68,59.44,45.2,4402512.89,74063,6901031250,9/15/2025,14:58:55
4,1897.97,1897.96,FMBCH,1758.43,1897.97,1758.44,1897.96,7010,3.64,0.19,2.53,39.45,14.18,4665660.17,118254.74,2458250000,9/15/2025,14:58:55
5,,,ICON,0,17.94,17.95,17.95,0,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,9/15/2025,14:58:55
6,1791.47,1791.47,ILLOVO,1791.47,0,1791.46,1791.47,275,5,0.28,1.77,56.47,8.59,1278114.22,22632,713444391,9/15/2025,14:58:55
7,,,MPICO,19.55,0,19.54,19.54,0,0.43,2.2,19.02,5.26,0.69,44903.85,8540.17,2298047460,9/15/2025,14:58:55
8,,,NBM,9427,0,9426.44,9426.44,0,126.35,1.34,2.32,43.03,16.39,4401504.01,102283,466931738,9/15/2025,14:58:55
9,1024.75,1024.73,NBS,0,1024.73,1024.74,1024.74,75937,10.9,1.06,2.45,40.86,26.61,2982580.94,72991,2910573356,9/15/2025,14:58:55
10,1740,1739.97,NICO,0,1739.97,1740,1739.99,28044,20,1.15,3.97,25.2,11.66,1814881.08,72009,1043041096,9/15/2025,14:58:55
11,1922,1922,NITL,1922,0,1922,1922,83,11.1,0.58,11.47,8.72,3.52,259470,29759.48,135000000,9/15/2025,14:58:55
12,,,OMU,2500.06,0,2500.06,2500.06,0,82.64,3.31,6.13,16.33,2.17,42375.51,2595.65,16949798,9/15/2025,14:58:55
13,6600,6600,PCL,0,6600,6600,6600,1509,11.25,0.17,8.15,12.27,2.27,793688.41,64673,120255820,9/15/2025,14:58:55
14,6489.5,6487.5,STANDARD,0,6487.5,6491.1,6489.28,11839,161.93,2.5,1.13,88.16,29.31,7614137.05,86365,1173340810,9/15/2025,14:58:55
15,,,SUNBIRD,500,0,460.02,460.02,0,13,2.83,8.83,11.33,1.72,120333.22,10624.63,261582580,9/15/2025,14:58:55
16,34.99,34.98,TNM,0,34.99,34.85,34.99,40072,0,0,2.49,40.14,7.79,403826.6,10060,11541200375,9/15/2025,14:58:55
1,137.97,137.96,AIRTEL,0,137.96,137.97,137.96,24229,2,1.45,2.82,35.52,47.25,1517560,42722.11,11000000000,9/12/2025,14:38:02
2,,,BHL,15.02,0,15.01,15.01,0,0,0,-1.55,-64.4,1.36,88232.61,-1370.11,5878254935,9/12/2025,14:38:02
3,600,599.97,FDHB,0,599.99,599.99,599.99,363053,4.73,0.79,1.79,55.91,42.51,4140549.74,74063,6901031250,9/12/2025,14:38:02
4,1758.44,1758.43,FMBCH,1758.43,1897.97,1758.42,1758.44,138225,3.64,0.21,2.74,36.55,13.14,4322685.13,118254.74,2458250000,9/12/2025,14:38:02
5,17.95,17.95,ICON,0,17.94,17.95,17.95,4052,0.29,1.62,20.37,4.91,0.82,119906,24424.49,6680000000,9/12/2025,14:38:02
6,1791.46,1791.46,ILLOVO,1791.46,0,1791.44,1791.46,2413,5,0.28,1.77,56.47,8.59,1278107.09,22632,713444391,9/12/2025,14:38:02
